"--Please Select--","--Kérem, válasszon--"
"API Login ID","API bejelentkezési azonosító"
"Accepted Currency","Elfogadott pénznemek"
"Card Verification Number","Kártya ellenőrző szám"
"Card Verification Number Visual Reference","Kártya ellenőrző kód, Látható hivatkozás"
"Close","Bezár"
"Credit Card Information","Hitelkártya-adatok"
"Credit Card Number","Hitelkártyaszám"
"Credit Card Type","Hitelkártya-típus"
"Credit Card Types","Hitelkártya típusok"
"Credit Card Verification","Hitelkártya ellenőrzés"
"Debug","Hibakeresés"
"Email Customer","Ügyfél értesítése levélben"
"Enabled","Engedélyezve"
"Expiration Date","Lejárat dátuma"
"Gateway URL","Átjáró URL"
"Maximum Order Total","Maximális rendelési összeg"
"Merchant MD5","Kereskedő MD5"
"Merchant's Email","Kereskedő e-mail"
"Minimum Order Total","Minimális rendelési összeg"
"New Order Status","Új megrendelés állapota"
"Order saving error: %s","Rendelés mentés hiba: %s"
"Payment Action","Fizetési művelet"
"Payment authorization error.","Fizetés engedélyezési hiba."
"Payment from Applicable Countries","Fizetés az elérhető országokból"
"Payment from Specific Countries","Fizetés a megadott országokból"
"Sort Order","Rendezési sorrend"
"Test Mode","Teszt mód"
"There was an error processing your order. Please contact us or try again later.","Hiba történt a rendelés feldolgozása közben. Lépjen kapcsolatba velünk, vagy próbálja meg később."
"Title","Cím"
"Transaction Key","Tranzakciós kulcs"
"What is this?","Mi ez?"
