"Abandoned carts","Félbehagyott kosarak"
"Action","Akció"
"Add to Cart","Kosárba"
"Add to Compare","Összehasonlításhoz ad"
"Add to Wishlist","Hozzáadás a kívánságlistához"
"Any","Bármely"
"Applied Coupon","Elfogadott kupon"
"Are you sure?","Biztos benne?"
"Bestsellers","Bestsellerek"
"Bought from wishlists","Kívánságlistáról megvéve"
"Carts","Kosarak"
"Coupons","Kuponok"
"Created At","Létrehozva"
"Customer","Vásárló"
"Customer Name","Ügyfél neve"
"Customer Tags","Vásárló címkéi"
"Customers","Vásárlók"
"Customers Report","Vásárlói jelentések"
"Customers Reviews","Vélemények"
"Customers Tags","Vásárlók címkéi"
"Customers by number of orders","Vásárlók a vásárlások száma szerint"
"Customers by orders total","Vásárlók az összes rendelés szerint"
"Customers that have wishlist: %s%","Vásárlók akiknek vannak kedvenceik: %s%"
"Dashboard","Vezérlőpult"
"Day","Nap"
"Description","Leírás"
"Detail","Részletek"
"Downloads","Letöltések"
"Email","E-mail"
"Filter","Szűrés"
"First Name","Keresztnév"
"From","Ettől"
"General","Általános"
"Guest","Vendég"
"Hits","Találatok"
"ID","Azonosító"
"IP Address","IP cím"
"Invoiced","Számlázott"
"Items in Cart","Termék a kosárban"
"Last Name","Vezetéknév"
"Last Review","Utolsó értékelés"
"Low stock","Alacsony készlet"
"Month","Hónap"
"Most Viewed","Legnézettebb"
"Name","Név"
"New Accounts","Új fiókok"
"No","Nem "
"Number Added","Ennyiszer hozzáadva"
"Number Fulfilled","Ennyiszer végrehajtva"
"Number Of Reviews","Értékelések száma"
"Number Purchased","Vásárlások száma"
"Number Viewed","Megtekintések száma"
"Number of Items","Termékek száma"
"Number of New Accounts","Új fiókok száma"
"Number of Reviews","Értékelések száma"
"Number of Total Tags","Összes címke mennyisége"
"Number of Unique Tags","Egyedi címkék mennyisége"
"Number of Views","Megtekintések száma"
"Number of items bought from a wishlist: %s","A kedvencekből megvásárolt termékek száma: %s"
"Number of times wishlists have been shared (emailed): %s","A kedvencek lista megosztásá (e-mailben): %s"
"Number of wishlist conversions: %s","Kedvencek lista konverziók száma: %s"
"Number of wishlist referrals: %s","Kedvencek lista ajánlások: %s"
"Number of wishlists: %s","Összes kedvencek lista: %s"
"Order Status","Megrendelés állapota"
"Orders","Rendelések"
"Out of stock","Nincs raktáron"
"Period","Időszak"
"Poducts Report","Termék jelentés"
"Popular Tags","Népszerű címkék"
"Popularity","Népszerűség"
"Price","Ár"
"Product Name","Terméknév"
"Product Reviews","Termék vélemények"
"Product SKU","Termék CSZ"
"Product Tags","Termék címkék"
"Products","Termékek"
"Products Report","Termék jelentések"
"Products Reviews","Termékek véleményei"
"Products Tags","Termék címkék"
"Products in carts","Termékek a kosarakban"
"Purchases","Vásárlások"
"Quantity Ordered","Rendelt mennyiség"
"Quantity of Items","Termékek készlete"
"Recently Compared","Legutoljára összehasonlítva"
"Recently Compared Products","Nemrég összehasonlított termékek"
"Recently Viewed","Nemrég megtekintve"
"Recently Viewed Products","Nemrég megtekintett termékek"
"Recently Viewed/Compared Products","Nemrég megtekintett/összehasonlított termékek"
"Refresh Statistics","Statisztika frissítése"
"Refunds","Visszatérítések"
"Report","Jelentés"
"Reports","Jelentések"
"Results","Eredmények"
"Revenue","Bevétel"
"Review","Értékelés"
"Reviews","Vélemények"
"Reviews for %s","%s értékelése"
"Sales","Értékesítések"
"Sales Report","Értékesítés jelentés"
"Search Query","Keresési lekérdezés"
"Search Terms","Keresőkifejezések"
"Shipping","Szállítás"
"Shopping Cart","Kosár"
"Shopping Cart Price Rule","Bevásárlókosár ár szabály"
"Show Actual Values","Tényleges értékek megjelenítése"
"Show Report","Jelentés megjelenítése"
"Show for Current","Aktuális mutatása"
"Specified","Megadva"
"Stock Qty","Készlet mennyiség"
"Submitted In","Létrehozás helye"
"Submitted On","Létrehozás"
"Subtotal","Részösszeg"
"Tag","Címke"
"Tag ""%s"" details"," ""%s"" címke részletei"
"Tag Detail","Címke részletek"
"Tag Name","Címke neve"
"Tags submitted to %s","Címkék hozzáadva ehhez: %s"
"Tax","Adó"
"Title","Cím"
"To","Eddig"
"Total","Összesen"
"Total Tags","Összes címke"
"Total invoiced","Számlázva összesen"
"Total refunded","Összesen visszatérített"
"Updated At","Feltöltve ekkor"
"Viewed Products Grid Template","Megtekintett termékek rács sablon"
"Viewed Products List Template","Megtekintett termékek felsorolás sablon"
"Visible In","Láthatóság"
"Wishlist Report","Kívánságlista jelentés"
"Wishlist vs. Regular Order","Kedvencek a szabályos rendeléssel szemben"
"Wishlists","Kedvencek listák"
"Year","Év"
"Yes","Igen"
"Your Recently Compared","Legutóbb összehasonlított termékei"
"Your Recently Viewed","Legutóbb megtekintett termékei"
