"API Login ID","API bejelentkezési azonosító"
"Accepted Currency","Elfogadott pénznemek"
"Authorize Only","Csak engedélyez"
"Authorize and Capture","Engedélyez és levon"
"Cancel","Mégse"
"Credit Card Types","Hitelkártya típusok"
"Credit Card Verification","Hitelkártya ellenőrzés"
"Debug","Hibakeresés"
"Email Customer","Ügyfél értesítése levélben"
"Enabled","Engedélyezve"
"Invalid amount for authorization.","Érvénytelen mennyiség az engedélyzéshez."
"Invalid amount for capture.","Érvénytelen levonandó összeg."
"Invalid amount for refund.","Érvénytelen visszatérítendő összeg."
"Maximum Order Total","Maximális rendelési összeg"
"Merchant's Email","Kereskedő e-mail"
"Minimum Order Total","Minimális rendelési összeg"
"New Order Status","Új megrendelés állapota"
"Payment Action","Fizetési művelet"
"Payment authorization error.","Fizetés engedélyezési hiba."
"Payment capturing error.","Hiba a fizetés közben."
"Payment from Applicable Countries","Fizetés az elérhető országokból"
"Payment from Specific Countries","Fizetés a megadott országokból"
"Payment refunding error.","Visszafizetési hiba."
"Payment voiding error.","Fizetés érvénytelenítési hiba."
"Sort Order","Rendezési sorrend"
"Test Mode","Teszt mód"
"Title","Cím"
"Transaction Key","Tranzakciós kulcs"
"authorize","engedélyez"
"authorize and capture","engedélyez és levon"
"capture","levon"
"failed","nem sikerült"
"refund","visszatérítés"
"successful","sikeres"
"void","érvénytelen"
