"-- Please Select --","-- Kérem válasszon --"
"Add New Class","Új adóosztály"
"Add New Tax Rate","Új adókulcs hozzáadása"
"Add New Tax Rule","Új adószabály hozzáadása"
"After Discount","Kedvezményesen"
"Apply Tax On","Adók elfogadása:"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Back","Vissza"
"Before Discount","Kedvezmény nélkül"
"Calculation Settings","Számítási beállítások"
"Catalog Prices","Katalógus árak"
"Class Name","Osztály neve"
"Code","Kód"
"Country","Ország"
"Custom price if available","Egyedi ár ha rendelkezésre áll"
"Customer Tax Class","Vevő adó-osztály"
"Customer Tax Class Information","Vevő áfa osztály adatok"
"Customer Tax Classes","Vásárló adó osztályok"
"Default Country","Alapértelmezett ország"
"Default Post Code","Alapértelmezett irányítószám"
"Default State","Alapértelmezett Régió"
"Delete Class","Osztály törlése"
"Delete Rate","Érték törlése"
"Delete Rule","Szabály törlése"
"Display Prices","Árak megjelenítése"
"Display Shipping Amount","Szállítási költség megjelenítése"
"Display Shipping Prices","Szállítási költségek megjelenítése"
"Display Subtotal","Részösszeg megjelenítése"
"Display Zero Tax Subtotal","Adó nélküli végösszeg mutatása"
"Edit Class","Osztály szerkesztése"
"Edit Class '%s'","Osztály szerkesztése '%s'"
"Edit Rule","Szabály szerkesztése"
"Edit Tax Rate","Adókulcs szerkesztése"
"Excl. Tax","Adó nélkül"
"Excl. Tax:","Adó nélkül:"
"Excluding Tax","Adó nélkül"
"Export Tax Rates","Adó értékek exportálása"
"Grand Total (Excl. Tax)","Végösszeg (adó nélkül)"
"Grand Total (Excl.Tax)","Végösszeg (adó nélkül)"
"Grand Total (Incl. Tax)","Végösszeg (adó nélkül)"
"Grand Total (Incl.Tax)","Végösszeg (ÁFA-val)"
"Grand Total Excl. Tax","Végösszeg adó nélkül"
"Grand Total Incl. Tax","Végösszeg adóval"
"Import / Export Tax Rates","Import / Export Adó értékek"
"Import Tax Rates","Adókulcsok importálása"
"Inc. Tax","Adóval"
"Incl. Tax","Adóval"
"Incl. Tax:","Adóval:"
"Including Tax","Adóval"
"Including and Excluding Tax","Adóval és adó nélkül"
"Invalid file format upload attempt","Érvénytelen fájl formátum feltöltési kisérlet"
"Invalid file upload attempt","Érvénytelen fájl feltöltési kisérlet"
"Manage Customer Tax Classes","Vásárlói adó osztályok kezelése"
"Manage Product Tax Classes","Termék adó osztályok kezelése"
"Manage Tax Rates","Adókulcsok kezelése"
"Manage Tax Rules","Adószabályok kezelése"
"Manage Tax Zones & Rates","Adó zónák és értékek kezelése"
"Name","Név"
"New Class","Új osztály"
"New Rule","Új szabály"
"New Tax Rate","Új adókulcs"
"No","Nem "
"None","Egyik sem"
"One of the country has invalid code.","Egyik országnak érvénytelen kódja van."
"Orders, Invoices, Credit Memos Display Settings","Rendelések, számlák, hitel feljegyzések megjelenítési beállítások"
"Original price only","Csak eredeti ár"
"Price Display Settings","Ár megjelenítési beállítások"
"Priority","Prioritás"
"Product Tax Class","Termék adó-osztály"
"Product Tax Class Information","Termék áfa osztály információ"
"Product Tax Classes","Termék adó osztályok"
"Range From","Tartomány alsó értéke"
"Range To","Tartomány felső értéke"
"Range To should be equal or greater than Range From.","A Tartomány felső értéke egyenlő vagy nagyobb kell, hogy legyen mint a Tartomány alsó értéke."
"Rate","Mérték"
"Rate Percent","Százalékos érték"
