"%1$s incl tax.","%1$s áfával."
"* Required Fields","* kitöltése kötelező"
"-- Select --","-- Válasszon --"
"Add New Option","Új választási lehetőség hozzáadása"
"Add Selection","Új választás"
"As Low as","Olcsóbb mint"
"As low as","Olcsóbb mint"
"Bundle Items","Kötegelt elemek"
"Bundle Product","Kötegelt termék"
"Buy %1$s for %2$s","%1$s db felett %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s db-nál az ár: %2$s (%3$s áfával) /db"
"Buy %1$s for %2$s each","%1$s db felett %2$s /db"
"Buy %1$s with %2$s discount each","Vegyen %1$s és %2$s -t együtt jobb áron."
"Checkbox","Jelölőnégyzet"
"Choose a selection...","Válassz lehetőséget..."
"Click for price","Kattintson ide az árért"
"Close","Bezár"
"Default","Alapértelmezett"
"Default Qty","Alapértelmezett mennyiség"
"Default Title","Alapértelmezett Cím"
"Drop-down","Lenyíló menü"
"Dynamic","Dinamikus"
"Excl. Tax","Adó nélkül"
"Excl. Tax:","Adó nélkül:"
"Fixed","Rögzített"
"From","Ettől"
"From:","Feladó:"
"Gift Message","Ajándék üzenet"
"Incl. Tax","Adóval"
"Incl. Tax:","Adóval:"
"Input Type","Beviteli mező típusa"
"Is Required","Szükséges"
"Message:","Üzenet:"
"Multiple Select","Többszörös kijelölés"
"No options of this product are available.","Ehhez a termékhez nincs lehetőség."
"None","Egyik sem"
"Percent","Százalék"
"Percent Discount","Százalékos kedvezmény"
"Please enter a number greater 0 in this field.","Ebben a mezőben adjon meg egy egy 0-nál nagyobb számot."
"Please enter search conditions to view products.","Adja meg a keresési kondíciókat a termék megtekintéséhez."
"Please select options for product.","Válassza ki a termékhez beállításokat."
"Please specify product option(s).","Adja meg a termék lehetőség(ek)et."
"Position","Pozició"
"Price Range","Ártartomány"
"Price Type","Ártípus"
"Price as configured","Beállított ár"
"Qty:","Mennyiség:"
"Radio Buttons","Rádiógombok"
"SKU","Cikkszám"
"Separately","Külön-külön"
"Ship Bundle Items","Összecsomagolt termékek szállítása"
"Shipment","Szállítás"
"Store View Title","Bolt nézet cím"
"This product is also part of bundle(s)","Ez a termék már szintén része köteg(ek)nek"
"To","Eddig"
"To:","Címzett:"
"Together","Együtt"
"Total incl. Tax: %1$s","Végösszeg áfával: %1$s"
"Use Default Value","Alapértelmezett érték használata"
"User Defined Qty","Beállított mennyiség"
"and","és"
"each","/db"
"save","mentés"
