"Actions","Műveletek"
"Active","Aktív"
"Add New Rule","Új szabály hozzáadása"
"Apply","Alkalmazás"
"Apply Rules","Szabályok alkalmazása"
"Attribute Set","Jellemző halmaz"
"By Fixed Amount","Fix összeggel"
"Catalog","Katalógus"
"Catalog Price Rule","Katalógus ár szabály"
"Catalog Price Rules","Katalógus árszabályok"
"Category","Kategória"
"Conditions","Feltételek"
"Conditions (leave blank for all products)","Feltételek (hagyd üresen az összes termékhez)"
"Conditions Combination","Feltételegyüttes"
"Customer Groups","Vevői csoportok"
"Date Expire","Lejárat"
"Date From","Dátumtól"
"Date Start","Kezdés"
"Date To","Dátumig"
"Description","Leírás"
"Discount Amount","Engedmény összege"
"Edit Rule","Szabály szerkesztése"
"Edit Rule '%s'","Szabály szerkesztése '%s'"
"Expiration Date","Lejárat dátuma"
"From Date","Mióta"
"General Information","Általános információ"
"ID","Azonosító"
"Inactive","Inaktív"
"New Rule","Új szabály"
"No","Nem "
"Options","Opciók"
"Priority","Prioritás"
"Product Attribute","Termékjellemzők"
"Promotions","Promóciók"
"Rule Information","Szabály-információ"
"Rule Name","Szabály neve"
"Save and Apply","Mentés és alkalmazás"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Start Date","Kezdő dátum"
"Status","Állapot"
"This rule no longer exists.","Ez a szabály már nem létezik."
"To Date","Meddig"
"To Fixed Amount","Fix összegre"
"Type","Típus"
"Update product's %s %s: %s","Termék frissítés %s %s: %s"
"Website","Honlap"
"Websites","Weboldalak"
"Yes","Igen"
