"ALL","MIND"
"ANY","BÁRMELYIK"
"Add","Hozzáadás"
"Apply","Alkalmazás"
"Conditions Combination","Feltételegyüttes"
"FALSE","HAMIS"
"If %s of these conditions are %s:","Ha %s ezen feltétel %s:"
"Invalid discount amount.","Érvénytelen engedmény mennyiség."
"Open Chooser","Választó megnyitása"
"Perform following actions","Végezze el a következő műveleteket"
"Please choose a condition to add...","Válasszon a következő feltételek közül..."
"Please choose an action to add...","Válasszon a következő műveletek közül..."
"Remove","Eltávolítás"
"TRUE","IGAZ"
"by","készítette"
"contains","tartalmaz"
"does not contain","nem tartalmaz"
"does not contains","nem tartalmaz"
"equals or greater than","egyenlő vagy nagyobb, mint"
"equals or less than","kisebb vagy egyenlő, mint"
"found","található"
"from","ettől"
"greater than","nagyobb, mint"
"is","egyezik"
"is not","nem egyezik"
"is not one of","nem egy ebből:"
"is one of","egy ebből:"
"less than","kisebb, mint"
"not found","nem található"
"to","eddig"
"was","volt"
"was not","nem volt"
