"-- Please Select --","-- Kérem válasszon --"
"Add to Cart","Kosárba"
"Choose an Option...","Válasszon egy lehetőséget..."
"Enabled","Engedélyezve"
"General Settings","Általános beállítások"
"Height","Magasság"
"In Stock","Raktáron"
"Out of Stock","Nincs raktáron"
"Previous","Előző"
"Remove This Item","Termék eltávolítása"
"Width","Szélesség"
