"Currency","Pénznem"
"Currency Rates","Pénznem árfolyamok"
"Rates","Árfolyamok"
"Save Currency Symbols","Pénznemek szimbólumainak mentése"
"System","Rendszer"
"Use Standard","Szabványos használata"
