"-- Please Select --","-- Kérem válasszon --"
"Attribute Code","Jellemző kód"
"Attribute Label","Jellemző cimke"
"Begin data validation","Adatok érvényesítésének megkezdése"
"Check Data","Adatok ellenőrzése"
"Customers","Vásárlók"
"Entity Type","Entitás típusa"
"Export","Exportálás"
"Export File Format","Exportálási Fájlformátum"
"Export Settings","Beállítások exportálása"
"Filter","Szűrés"
"From","Ettől"
"Import","Importálás"
"Import Behavior","Importálási viselkedés"
"Import Settings","Beállítások importálása"
"Products","Termékek"
"Select File to Import","Válassza ki az importálni kívánt fájl"
"Status","Állapot"
"There are no product types available for export","Nincsenek exportálható terméktípusok"
"To","Eddig"
"Unknown attribute filter type","Ismeretlen jellemző-szűrő típus"
