"Actions","Műveletek"
"Add Answer","Új válasz"
"Add New Answer","Új válasz hozzáadása"
"Add New Poll","Új szavazás hozzáadása"
"Answer Title","Válasz címe"
"Answer Title:","Válasz címe:"
"Answer with the same title in this poll","Válasz ugyan azzal a címmel ebben a szavazásban"
"Are you sure you want to delete it?","Biztos benne hogy törölni kívánja?"
"Assigned Answers","Társított válaszok"
"Closed","Lezárt"
"Community Poll","Közösségi szavazás"
"Date Closed","Lezárva"
"Date Posted","Létrehozva"
"Delete","Törlés"
"Delete Answer","Válasz törlése"
"Delete Poll","Szavazás törlése"
"Edit Answer '%s'","Válasz szerkesztése '%s'"
"Edit Poll '%s'","Szavazás szerkesztése '%s'"
"Edit Poll Answer","Szavazás válaszának szerkesztése"
"ID","Azonosító"
"New Poll","Új szavazás"
"Number of Responses","Válaszok száma"
"Open","Nyitva"
"Poll Answers","Szavazás válaszok"
"Poll Information","Szavazás információk"
"Poll Manager","Szavazás kezelés"
"Poll Question","Szavazás kérdés"
"Poll information","Szavazás információk"
"Poll with the same question","Szavazás ugyan azzal a kérdéssel"
"Polls","Szavazások"
"Save Answer","Válasz mentése"
"Save Poll","Szavazás mentése"
"Status","Állapot"
"Visible In","Láthatóság"
"Vote","Szavaz"
"Votes Count","Szavazatszámláló"
"Votes Count:","Szavazatok száma:"
