"Add","Hozzáadás"
"Allow Gift Messages for Order Items","Ajándék üzenetek engedélyezése a rendelés tételekhez"
"Allow Gift Messages on Order Level","Ajándék üzenetek engedélyezése a rendelés szinten"
"Are you sure?","Biztos benne?"
"Cancel","Mégse"
"Do you have any gift items in your order?","Van olyan tétel a rendelésben ami ajándék?"
"Edit","Szerkesztés"
"From","Ettől"
"Gift Message","Ajándék üzenet"
"Gift Options","Ajándék beállítások"
"Gift Options for Individual Items","Ajándék lehetőségek az egyes tételekhez"
"Item %d of %d","Termék %d / %d"
"Message","Üzenet"
"No","Nem "
"OK","Rendben"
"Save Gift Message","Ajándék üzenet mentése"
"To","Eddig"
"Unknown entity type","Ismeretlen entitástípus"
"Use config","Használja a beállításokat"
"Yes","Igen"
