"Action","Akció"
"Add Sitemap","Új oldaltérkép"
"Always","Mindig"
"CMS Pages Options","CMS oldalak beállítása"
"Categories Options","Kategória beállítások"
"Daily","Napi"
"Edit Sitemap","Oldaltérkép szerkesztése"
"Enabled","Engedélyezve"
"Error Email Recipient","Hiba e-mail címzettje"
"Error Email Sender","Hiba e-mail feladója"
"Error Email Template","Hiba e-mail sablon"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Fájl ""%s"" nem menthető. Ellenőrizze hogy a könyvtár ""%s"" írható-e a webszerver által."
"Filename","Fájlnév"
"Frequency","Gyakoriság"
"Generate","Létrehoz"
"Generation Settings","Generálás beállítások"
"Google Sitemap","Google Oldaltérkép"
"Hourly","Óránként"
"ID","Azonosító"
"Last Time Generated","Utoljára létrehozva"
"Link for Google","Link a Google számára"
"Monthly","Havi"
"Never","Soha"
"New Sitemap","Új oldaltérkép"
"Path","Útvonal"
"Please create the specified folder ""%s"" before saving the sitemap.","Hozza létre a könyvtárat ""%s"" mielőtt menti az oldaltérképet."
"Please define correct path","Határozzon meg helyes útvonalat"
"Please make sure that ""%s"" is writable by web-server.","Ellenőrizze hogy ""%s"" mappa írható-e a webszerver számára."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Csak angol abc (a-z vagy A-Z), számokat (0-9) vagy aláhúzást (_) használjon. Szünet és egyéb karakterek nincsenek engedélyezve."
"Priority","Prioritás"
"Products Options","Termék beállítások"
"Sitemap","Oldaltérkép"
"Sitemap generate Warnings","Oldaltérkép létrehozás figyelmeztetések"
"Start Time","Kezdés ideje"
"Store View","Bolt nézet"
"Weekly","Heti"
"Yearly","Éves"
