"(Excl. Tax)","(Excl. VAT)"
"(Incl. Tax)","(Incl. VAT)"
"Add to Cart","Add to Basket"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Basket"
"Apply Coupon","Apply Discount Code"
"Clear Shopping Cart","Clear Shopping Basket"
"Display Cart Summary","Display Basket Summary"
"Edit Your Cart","Edit Your Basket"
"Estimate Shipping and Tax","Estimate Shipping and VAT"
"Excl. Tax","Excl. VAT"
"Incl. Tax","Incl. VAT"
"My Cart","My Basket"
"My Cart Link","My Basket Link"
"Please select region, state or province","Please select a county or province"
"Shopping Cart","Shopping Basket"
"State/Province","County"
"Update Cart","Update Basket"
"Update Shopping Cart","Update Shopping Basket"
"View Shopping Cart","View Shopping Basket"
"You have no items in your shopping cart.","You have no items in your shopping basket."
"Zip/Postal Code","Post Code"
