"Apply Customer Tax","Apply Customer VAT"
"Default State","Default County"
"Default Tax Destination Calculation","Default VAT Destination Calculation"
"Display Full Tax Summary","Display Full VAT Summary"
"Display Zero Tax Subtotal","Display Zero VAT Subtotal"
"Excl. Tax","Excl. VAT"
"Grand Total Excl. Tax","Grand Total Excl. VAT"
"Grand Total Incl. Tax","Grand Total Incl. VAT"
"Incl. Tax","Incl. VAT"
"Including Tax","Including VAT"
"State","County"
"State/Region","County"
"Subtotal (Excl. Tax)","Subtotal (Excl. VAT)"
"Subtotal (Incl. Tax)","Subtotal (Incl. VAT)"
"Tax","VAT"
"Tax Calculation Based On","VAT Calculation Based On"
"Tax Calculation Method Based On","VAT Calculation Based On"
