"ALL","VISI"
"ANY","JEBKURŠ"
"Add","Pievienot"
"Apply","Apstiprināt"
"Conditions Combination","Noteikumu kombinācija"
"FALSE","NEAPREIZS"
"If %s of these conditions are %s:","Ja %s no šiem nosacījumiem ir %s:"
"Open Chooser","Atvērt izvēlni"
"Perform following actions","Veikt sekojošas darbības"
"Please choose a condition to add...","Lūdzu izvēlieties nosacījumu kuru pievienot"
"Please choose an action to add...","Lūdzu izvēlieties darbību kuru pievienot..."
"Remove","Dzēst"
"TRUE","PAREIZS"
"by","par"
"contains","satur"
"does not contain","nesatur"
"does not contains","nesatur"
"equals or greater than","vienāds vai lielāks kā"
"equals or less than","vienāds vai mazāks par"
"for","priekš"
"for greater than","lielāks par"
"for or greater than","par vai lielāks kā"
"found","atrasts"
"from","no"
"greater than","lielāks kā"
"is","ir"
"is not","nav"
"is not one of","nav viens no"
"is one of","ir viens no"
"less than","mazāk kā"
"not found","nav atrasts"
"not from","nav no"
"to","līdz"
"was","bija"
"was not","nebija"
