"Done","Gatavs"
"Less than a minute","Mazāk par minūti"
"Memory Used: %s","Aizņemts atmiņas: %s"
"Processed records: %s","Apstrādātie ieraksti: %s"
"Total records: %s","Kopā ieraksti: %s"
"hour","stunda"
"hours","stundas"
"minute","minūte"
