"%s and greater","%s un vairāk"
"Advanced Search","Paplašināta Meklēšana"
"All","Visi"
"Catalog Advanced Search","Kataloga paplašinātā meklēšana"
"Catalog Search","Kataloga meklēšana"
"Don't see what you're looking for?","Nevarat atrast meklēto?"
"Go to Home Page","Iet uz sākumlapu"
"Grid","Režģis"
"Home","Sākums"
"List","Saraksts"
"Maximum Query Length","Maksimālais pieprasījuma garums"
"Minimal Query Length","Minimālais pieprasījuma garums"
"Modify your search","Rediģējiet Jūsu meklēšanas kritērijus"
"No","Nē"
"Popular Search Terms","Populārākie meklējumi"
"Rebuild Catalog product fulltext search index","Pārbūvēt kataloga produktu pilnā teksta meklēšanas indeksus"
"Relevance","Atbilstība"
"Results","Rezultāti"
"Search","Meklēt"
"Search Settings","Meklēšanas iestatījumi"
"Search Terms","Meklētie atslēgvārdi"
"Search entire store here...","Meklēt visā veikalā..."
"Search results for '%s'","Meklēšanas rezultāti priekš: '%s'"
"Search results for: '%s'","Meklēšanas rezultāti priekš: '%s'"
"Subscribe to Feed","Parakstīties uz RSS barotni"
"There are no search terms available.","Nav pieejami meklēšanas termini."
"Yes","Jā"
"Your search returns no results.","Jūsu meklēšana nedeva rezultātu."
"up to %s","līdz pat %s"
