"10 minutes","10 minūtes"
"15 minutes","15 minūtes"
"20 minutes","20 minūtes"
"30 minutes","30 minūtes"
"5 minutes","5 minūtes"
"Daily","Katru dienu"
"Failure History Lifetime","Kļūdu vēstures uzturēšanas ilgums"
"Generate Schedules Every","Ģenerēt grafikus katru"
"History Cleanup Every","Attīrīt vēsturi katru"
"Hourly","Katru stundu"
"Minute Intervals","Minūšu intervāli"
"Missed if Not Run Within","Tiek izlaists ja netiek darbināts"
"Monthly","Katru mēnesi"
"Schedule Ahead for","Grafiks uz priekšu"
"Success History Lifetime","Izpildīto uzdevumu uzturēšanas ilgums"
"Unable to delete the cron task.","Nevar nodzēst cron uzdevumu."
"Weekly","Katru nedēļu"
