"Add Recipient","Pievienot saņēmēju"
"Allow for Guests","Atļat viesiem"
"Back","Atpakaļ"
"Email Address","E-pasta adrese"
"Email Address:","E-pasta adrese:"
"Email Templates","E-pasta šabloni"
"Email to a Friend","Nosūtīt e-pastā draugam"
"Email:","E-pasts:"
"Enabled","Ieslēgts"
"Invalid Sender Information","Nederīga nosūtītāja informācija"
"Limit Sending By","Limitēt sūtīšanu pēc"
"Max Products Sent in 1 Hour","Maksimālais produktu skaits ko var nosūtīt 1 stundā"
"Max Recipients","Maksimālais saņēmēju skaits"
"Maximum %d email addresses allowed.","Maksimums %d e-pasta adreses ir atļautas."
"Message:","Ziņa:"
"Name","Vārds"
"Recipient:","Saņēmējs:"
"Remove Email","Izdzēst e-pastu"
"Select Email Template","Izvēlēties e-pasta šablonu"
"Send Email","Sūtīt e-pastu"
"Send product to a friend","Nosūtīt produktu draugam"
"Sender:","Nosūtītājs:"
"Some emails were not sent.","Atsevišķi e-pasti netika nosūtīti."
"The link to a friend was sent.","Saite draugam tika nosūtīta."
