"-- Please Select --","-- Lūdzu, izvēlieties --"
"Actions","Darbības"
"Add Layout Update","Pievienot izkārtojuma atjaunināšanu"
"All","Visi"
"All Pages","Visas lapas"
"All Product Types","Visi produktu veidi"
"Anchor Categories","Enkuru kategorijas"
"Apply","Apstiprināt"
"Assign to Store Views","Piešķirt veikala skatā"
"Big Image","Liels attēls"
"Categories","Kategorijas"
"Choose...","Izvēlēties..."
"Close","Aizvērt"
"Continue","Turpināt"
"Default Template","Noklusētais šablons"
"Delete","Dzēst"
"Design Package/Theme","Dizaina paka/tēma"
"Export to:","Eksportēt:"
"Frontend Properties","Klientu lapas rekvizīti"
"Generic Pages","Vispārīgās lapas"
"Images","Attēli"
"Insert Widget","Ievietot logrīku"
"Layout Updates","Izkārtojuma atjauninājumi"
"Manage Widget Instances","Pārvaldīt logrīkus"
"New Widget Instance","Jauns logrīks"
"Next page","Nākošā lapa"
"Non-Anchor Categories","Kategorijas bez enkuriem"
"Not Selected","Nav izvēlēts"
"Open Chooser","Atvērt izvēlni"
"Page","Lapa"
"Previous page","Iepriekšējā lapa"
"Products","Produkti"
"Remove Layout Update","Noņemt izkārtojuma atjauninājumu"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Select All","Izvēlēties visu"
"Select Visible","Izvēlēties redzamos"
"Settings","Iestatījumi"
"Sort Order","Kārtošanas secība"
"Specified Page","Norādītā lapa"
"Template","Šablons"
"The information in this tab has been changed.","Informācija šajā cilnē tika mainīta."
"The widget instance has been deleted.","Logrīks tika nodzēsts."
"The widget instance has been saved.","Logrīks tika saglabāts."
"This tab contains invalid data. Please solve the problem before saving.","Šajā cilnē ir kļūdaina informācija. Lūdzu izlabojiet to pirms saglabāšanas."
"Thumbnail","Sīktēls"
"Total %d records found","Kopā atrasti %d ieraksti"
"Type","Veids"
"Unselect All","Noņemt visus atlasītos"
"Unselect Visible","Noņemt redzamos"
"View","Skatīt"
"Widget","Logrīks"
"Widget ID","Logrīka ID"
"Widget Insertion","Logrīka iespraušana"
"Widget Options","Logrīka opcijas"
"Widget Type","Logrīka veids"
"Widgets","Logrīki"
"items selected","ieraksti izvēlēti"
"of %s pages","no %s"
"per page","lapā"
