"Base URL","Pamata URL"
"Configuration","Konfigurācija"
"Confirm Password","Apstiprināt paroli"
"Continue","Turpināt"
"Database","Datu bāze"
"Database user password","Datubāzes lietotāja parole"
"Download","Lejupielādēt"
"Email","E-pasts"
"Email Address","E-pasta adrese"
"Enable Charts","Ieslēgt grafikus"
"Encryption Key","Šifrēšanas Atslēga"
"First Name","Vārds"
"Host","Hosts"
"Last Name","Uzvārds"
"Locale","Lokalizācija"
"Login Information","Autorizācijas dati"
"Password","Parole"
"Password Confirmation","Paroles apstiprinājums"
"Required Fields","Nepieciešamie lauki"
"Secure Base URL","Drošā pamata URL"
"User Name","Lietotājvārds"
"User Password","Lietotāja parole"
"Username","Lietotājvārds"
