"* Required Fields","* obligātie lauki"
"Admin","Administrators"
"Authorize","Autorizēt"
"Close","Aizvērt"
"Created At","Izveidots"
"Customer","Klients"
"Delete","Dzēst"
"Disable","Izslēgt"
"Disabled","Izslēgts"
"Edit","Labot"
"Email","E-pasts"
"Email Address","E-pasta adrese"
"Enable","Ieslēgt"
"Enabled","Ieslēgts"
"Log In","Ielogoties"
"Login","Lietotājvārds"
"Name","Vārds"
"Password","Parole"
"Permissions","Piekļuves tiesības"
"Role Name","Lomas nosaukums"
"Save","Saglabāt"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Status","Statuss"
"System","Sistēma"
"User ID","Lietotāja ID"
"User Name","Lietotājvārds"
