"Add Option","Pievienot opciju"
"Attribute Code","Atribūta kods"
"Attribute Label","Atribūta nosaukums"
"Attribute Properties","Atribūta Īpašības"
"Catalog Input Type for Store Owner","Kataloga ievades veids priekš Veikala īpašnieka"
"Date","Datums"
"Decimal Number","Decimāls nummurs"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Noklusētā produktu saraksta šķirošana pēc neeksistē Pieejamo produktu škirošanā pēc."
"Default Value","Noklusētā vērtība"
"Delete","Dzēst"
"Dropdown","Nolaižamā izvēlne"
"Email","E-pasts"
"Input Validation for Store Owner","Ievades validācija veikala īpašniekam"
"Integer Number","Vesels skaitlis"
"Invalid store specified","Neparaizi norādīts veikals"
"Letters","Burti"
"Multiple Select","Izvēlēties vairākus"
"No","Nē"
"None","Neviens"
"Not shared with other products","Nav kopīgs ar citām precēm"
"Problem saving the collection, aborting. Error: %s","Fatāla kļūda pievienojot kolekciju. Kļūda: %s"
"Required","Obligāts"
"System","Sistēma"
"Text Area","Teksta telpa"
"Text Field","Teksta lauks"
"Unique Value","Unikāla vērtība"
"Unique Value (not shared with other products)","Unikāla vērtība (nav kopīga ar citiem produktiem)"
"Values Required","Obligātās vērtības"
"Yes","Jā"
"Yes/No","Jā/Nē"
