"-- Please Select --","-- Lūdzu, izvēlieties --"
"Add New Class","Jauna nodokļu grupa"
"Add New Tax Rate","Jauna nodokļu likme"
"Add New Tax Rule","Jauns nodokļa nosacījums"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Back","Atpakaļ"
"Class Name","Grupas nosaukums"
"Code","Kods"
"Country","Valsts"
"Customer Tax Classes","Klientu nodokļu grupas"
"Default Country","Noklusētā valsts"
"Delete Class","Dzēst grupu"
"Delete Rate","Dzēst likmi"
"Delete Rule","Dzēst Noteikumu"
"Edit Class","Labot grupu"
"Edit Class '%s'","Labot grupu '%s'"
"Edit Rule","Mainīt nosacījumu"
"Edit Tax Rate","Labot nodokļa likmi"
"Excl. Tax","Bez PVN"
"Export Tax Rates","Eksportēt nodokļu likmes"
"Grand Total (Excl.Tax)","Kopsumma (Bez PVN)"
"Grand Total (Incl.Tax)","Kopsumma (Ar PVN)"
"Import / Export Tax Rates","Nodokļu likmju imports / eksports"
"Import Tax Rates","Importēt nodokļu likmes"
"Inc. Tax","Ieskaitot PVN"
"Incl. Tax","Ar PVN"
"Invalid file format upload attempt","Nederīga faila formāta augšupielādes mēģinājums"
"Invalid file upload attempt","Nepareiza faila augšupielādēšanas mēģinājums"
"Manage Customer Tax Classes","Pārvaldīt klientu nodokļu grupas"
"Manage Product Tax Classes","Pārvaldīt preču nodokļu grupas"
"Manage Tax Rates","Pārvaldīt nodokļu likmes"
"Manage Tax Rules","Pārvaldīt nodokļu nosacījumus"
"Name","Vārds"
"New Class","Jauna grupa"
"New Rule","Jauns nosacījums"
"New Tax Rate","Jauna nodokļu likme"
"No","Nē"
"None","Neviens"
"Priority","Prioritāte"
"Product Tax Classes","Preču nodokļu grupas"
"Range From","Diapazons no"
"Range To","Diapazons līdz"
"Rate","Likme"
"Rate Percent","Procentu likme"
"Reset","Notīrīt"
"Row Total","Kopā rindā"
"Sales","Pārdošana"
"Save Class","Saglabāt grupu"
"Save Rate","Saglabātu kursu"
"Save Rule","Saglabāt nosacījumu"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Sort Order","Kārtošanas secība"
"State","Štats"
"State/Region","Valsts/Reģions"
"Tax","Nodokļi"
"Tax Identifier","PVN identifikators"
"Tax Rate","Nodokļu likme"
"Tax Rate Information","Nodokļa Likmes Informācija"
"Tax Rule Information","Nodokļa nosacījuma apraksts"
"Tax Rules","Nodokļu nosacījumi"
"The tax rate has been imported.","Nodokļu likme tika importēta."
"This class no longer exists","Šī grupa vairs neeksistē"
"This rule no longer exists","Šis nosacījums vairs neeksistē"
"This rule no longer exists.","Šis noteikums vairs neeksistē."
"Total","Kopā"
"Unit Price","Vienības cena"
"Yes","Jā"
"You cannot delete this tax class as it is used for %d customer groups.","Šī nodokļu grupa nevar tikt izdzēsta, jo tā ir piemērota %d klientu grupām."
"You cannot delete this tax class as it is used for %d products.","Šī nodokļu grupa nevr tikt izdzēsta, jo tā ir piemērota %d."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Šī nodokļu grupa nevar tikt izdzēsta, jo pirms tam ir jāizdzēš nodokļu nosacījumi, kuros tā tiek izmantota."
"Zip/Post Code","Pasta indekss"
"Zip/Post is Range","Pasta indeksa apgabals"
