"* Required Fields","* obligātie lauki"
"-- Select --","-- Izvēlēties --"
"Add New Option","Pievienot jaunu opciju"
"As Low as","Samazināt līdz"
"As low as","Samazināt līdz"
"Bundle Items","Komplekta produkti"
"Checkbox","Izvēles rūtiņa"
"Choose a selection...","Izvēlieties atlasi..."
"Click for price","Noklikšķiniet, lai saņemtu cenu"
"Close","Aizvērt"
"Default","Noklusētais"
"Default Qty","Noklusētais skaits"
"Default Title","Noklusētais nosaukums"
"Drop-down","Izvēles saraksts"
"Dynamic","Dinamisks"
"Excl. Tax","Bez PVN"
"Fixed","Fiksēta"
"From","No"
"From:","No:"
"Gift Message","Dāvanas ziņa"
"Incl. Tax","Ar PVN"
"Input Type","Ievades veids"
"Is Required","Ir obligāts"
"Message:","Ziņa:"
"Multiple Select","Izvēlēties vairākus"
"No options of this product are available.","Šim produktam nav pieejamas opcijas."
"None","Neviens"
"Percent","Procenti"
"Percent Discount","Procentu atlaide"
"Please Select Products to Add","Izvēlieties produktus lai pievienotu"
"Please enter a number greater 0 in this field.","Lūdzu, ievadiet skailti lielāku par 0."
"Please specify product option(s).","Norādiet produkta opciju(as)."
"Position","Pozīcija"
"Price Range","Cenu diapazons"
"Price Type","Cenas veids"
"Qty:","Skaits:"
"Radio Buttons","Radio pogas"
"SKU","Artikuls"
"Separately","Atsevišķi"
"Ship Bundle Items","Nosūtīt komplekta produktus"
"Shipment","Piegāde"
"Store View Title","Saglabāt skata nosaukumu"
"To","Kam"
"To:","Kam:"
"Together","Kopā"
"Use Default Value","Izmantot noklusēto vērtību"
"and","un"
