"Add","Pievienot"
"Allow Gift Messages for Order Items","Atļaut dāvanas ziņas pasūtījuma produktiem"
"Allow Gift Messages on Order Level","Atļaut dāvanas ziņu pasūtījuma līmenī"
"Are you sure?","Vai esat pārliecināts?"
"Cancel","Atcelt"
"Do you have any gift items in your order?","Vai Jūsu pasūtījumā ir kāda dāvana?"
"Edit","Labot"
"From","No"
"Gift Message","Dāvanas ziņa"
"Gift Options","Dāvanas opcijas"
"Gift Options for Individual Items","Dāvanas opcijas atsevišķiem produktiem"
"Message","Ziņa"
"No","Nē"
"OK","Labi"
"Save Gift Message","Saglabāt dāvanas ziņu"
"To","Kam"
"Unknown entity type","Nezināms ieraksta tips"
"Use config","Lietot konfigurāciju"
"Yes","Jā"
