"Add","Pievienot"
"Add New Row","Pievienot jaunu rindu"
"Availability:","Pieejamība:"
"Back","Atpakaļ"
"Canceled","Atcelts"
"Date","Datums"
"Delete","Dzēst"
"Downloadable Information","Lejupielādējama Informācija"
"Edit","Labot"
"Edit item parameters","Labot produkta parametrus"
"Excl. Tax","Bez PVN"
"File","Fails"
"From:","No:"
"Gift Message","Dāvanas ziņa"
"In stock","Noliktavā"
"Incl. Tax","Ar PVN"
"Invoiced","Piestādīts rēķins"
"List","Saraksts"
"Message:","Ziņa:"
"My Downloadable Products","Manas lejupielādējamās Preces"
"Order #","Pasūtījums #"
"Ordered","Pasūtīts"
"Out of stock","Nav pieejams"
"Pending","Gaida"
"Price","Cena"
"Qty","Skaits"
"Refunded","Atmaksāts"
"Remove","Dzēst"
"Remove Item","Noņemt produktu"
"SKU","Artikuls"
"See price before order confirmation.","Apskatīt cenu pirms pasūtījuma apstiprināšanas."
"Shipped","Piegādāts"
"Sort Order","Kārtošanas secība"
"Status","Statuss"
"Subtotal","Starpsumma"
"Title","Nosaukums"
"To:","Kam:"
"Update","Atjaunināt"
"Use Default Value","Izmantot noklusēto vērtību"
"View Order","Apskatīt pasūtījumu"
"What's this?","Kas tas ir?"
"You have not purchased any downloadable products yet.","Jūs vēl neesat iegādājies nevienu lejupielādējamo preci."
