"Actions","Darbības"
"Active","Aktīvs"
"Add New Rule","Pievienot jaunu noteikumu"
"Apply","Apstiprināt"
"Apply Rules","Pielietot noteikumus"
"Attribute Set","Atribūtu kopa"
"Catalog","Katalogs"
"Catalog Price Rule","Preces cenas aprēķina nosacījums"
"Catalog Price Rules","Preču cenu aprēķina nosacījumi"
"Category","Kategorija"
"Conditions","Nosacījumi"
"Conditions Combination","Noteikumu kombinācija"
"Customer Groups","Klientu grupas"
"Date Expire","Spēkā līdz"
"Date From","Datums no"
"Date Start","Spēkā no"
"Date To","Datums līdz"
"Description","Apraksts"
"Discount Amount","Atlaides apjoms"
"Edit Rule","Mainīt nosacījumu"
"Edit Rule '%s'","Mainīt nosacījumu '%s'"
"Expiration Date","Derīguma termiņš"
"General Information","Vispārīga informācija"
"Inactive","Neaktīvs"
"New Rule","Jauns nosacījums"
"No","Nē"
"Options","Opcijas"
"Priority","Prioritāte"
"Product Attribute","Produkta atribūts"
"Promotions","Pārdošanas veicināšana"
"Rule Name","Noteikumu nosaukums"
"Save and Apply","Saglabāt un lietot"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Start Date","Sākuma datums"
"Status","Statuss"
"This rule no longer exists.","Šis noteikums vairs neeksistē."
"To Fixed Amount","Uz fiksētu daudzumu"
"Type","Veids"
"Website","Mājas lapa"
"Websites","Mājas lapas"
"Yes","Jā"
