"Action","Darbība"
"Are you sure you want to delete the selected backup(s)?","Vai vēlaties izdzēst rezerves kopijas failu(s)?"
"Backups","Rezerves kopijas"
"Create Backup","Izveidot rezerves kopiju"
"Database","Datu bāze"
"Database Backup","Datu bāzes rezerves kopija"
"Database and Media","Datu bāze un multimēdija"
"Database and Media Backup","Datu bāzes un multimēdijas rezerves kopija"
"Download","Lejupielādēt"
"Enable Scheduled Backup","Ieslēgt rezerves kopiju veidošanu pēc saraksta"
"Frequency","Biežums"
"Maintenance Mode","Apkopes režīms"
"Name","Vārds"
"Rollback","Iepriekšējās versijas atrite"
"Start Time","Sākuma laiks"
"System","Sistēma"
"System (excluding Media)","Sistēma (izņemot multimēdiju)"
"System Backup","Sistēmas rezerves kopija"
"Time","Laiks"
"Type","Veids"
