"Actions","Darbības"
"Add Answer","Pievienot Atbildi"
"Add New Answer","Pievienot Jaunu Atbildi"
"Add New Poll","Pievienot Jaunu Aptauju"
"Answer Title","Atbildes Nosaukums"
"Answer Title:","Atbildes Nosaukums:"
"Answer with the same title in this poll","Atbildēt ar to pašu nosaukumu šajā aptaujā"
"Are you sure you want to delete it?","Vai esat pārliecināts, ka vēlaties to dzēst?"
"Assigned Answers","Piešķirtās Atbildes"
"Closed","Slēgts"
"Community Poll","Sabiedrības Aptauja"
"Date Closed","Slēgšanas Datums"
"Date Posted","Iesūtīšanas Datums"
"Delete","Dzēst"
"Delete Answer","Dzēst Atbildi"
"Delete Poll","Dzēst Aptauju"
"Edit Poll Answer","Labot Aptaujas Atbildi"
"New Poll","Jauna Aptauja"
"Number of Responses","Aptaujāto Skaits"
"Open","Atvērt"
"Poll Answers","Aptaujas Atbildes"
"Poll Information","Aptaujas Informācija"
"Poll Question","Aptaujas Jautājums"
"Poll information","Aptaujas Informācija"
"Poll with the same question","Aptauja ar to pašu jautājumu"
"Save Answer","Saglabāt Atbildi"
"Save Poll","Saglabāt Aptauju"
"Status","Statuss"
"Visible In","Redzams"
"Vote","Balsot"
"Votes Count","Balsojumu Skaits"
"Votes Count:","Balsojumu Skaits:"
