"-- Please select --","-- Lūdzu, izvēlieties --"
"Allowed Currencies","Atļautās valūtas"
"Base Currency","Pamata valūta"
"Connection Timeout in Seconds","Pieslēguma taimauts sekundēs"
"Country","Valsts"
"Country and Format Type combination should be unique","Valstij un formāta veida kombinācijai jābūt unikālai"
"Currency","Valūta"
"Currency Options","Valūtas opcijas"
"Currency Setup","Valūtas iestatījumi"
"Currency Update Warnings","Valūtas atjaunināšanas brīdinājumi"
"Default Display Currency","Noklusētā attēlošanas valūta"
"Enabled","Ieslēgts"
"Error Email Recipient","E-pasta saņēmēja kļūda"
"Error Email Sender","E-pasta sūtītāja kļūda"
"Error Email Template","E-pasta šablona kļūda"
"FATAL ERROR:","FATĀLA KĻŪDA:"
"Frequency","Biežums"
"Installed Currencies","Instalētās valūtas"
"Scheduled Import Settings","Ieplānotas importēšanas iestatījumi"
"Select Your Currency","Izvēlaties Jūsu valūtu"
"Service","Pakalpojums"
"Start Time","Sākuma laiks"
"State/Province","Štats/Province"
"WARNING:","BRĪDINĀJUMS:"
