"Catalog","Katalogs"
"Click for price","Noklikšķiniet, lai saņemtu cenu"
"Coupons/Discounts","Kuponi/atlaides"
"Customer Order Status Notification","Klienta pasūtījuma statusa paziņojums"
"Discount","Atlaide"
"Enable RSS","Ieslēgt RSS"
"From:","No:"
"Get Feed","Iegūt plūsmu"
"Gift Message","Dāvanas ziņa"
"Grand Total","Kopsumma"
"Low Stock Products","Produkti ar maziem krājumiem"
"Message:","Ziņa:"
"Miscellaneous Feeds","Dažādas plūsmas"
"New Orders","Jauni pasūtījumi"
"New Products","Jauni produkti"
"Order","Pasūtījums"
"Pending product review(s)","Neapstiprināta produkta atsauksme(s)"
"RSS Feeds","RSS plūsmas"
"Rss Config","RSS konfigurācija"
"Shipping &amp; Handling","Piegāde un apstrāde"
"Special Products","Īpašie produkti"
"Subtotal","Starpsumma"
"Tax","Nodokļi"
"To:","Kam:"
"Top Level Category","Augstākā līmeņa kategorija"
"Wishlist","Vēlmju saraksts"
