"Accepted Currency","Akceptētā valūta"
"Authorize Only","Tikai autorizācija"
"Authorize and Capture","Autorizēt un saņemt"
"Cancel","Atcelt"
"Credit Card Types","Kredītkaršu veidi"
"Credit Card Verification","Kredītkartes pārbaude"
"Debug","Atkļūdot"
"Email Customer","E-pasta klientam"
"Enabled","Ieslēgts"
"Invalid amount for capture.","Nepareiza summa saņemšanai."
"Invalid amount for refund.","Nepareiza atmaksas summa."
"Maximum Order Total","Maksimālā pasūtījuma summa"
"Merchant's Email","Tirgotāja e-pasts"
"Minimum Order Total","Minimālā pasūtījuma summa"
"New Order Status","Jauna pasūtījuma statuss"
"Payment Action","Maksājuma darbība"
"Payment capturing error.","Maksājuma saņemšanas kļūda."
"Payment from Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment from Specific Countries","Maksājumi no noteiktām valstīm"
"Payment refunding error.","Atmaksas maksājuma kļūda."
"Payment voiding error.","Maksājuma anulācijas kļūda."
"Sort Order","Kārtošanas secība"
"Test Mode","Testa režīms"
"Title","Nosaukums"
"Transaction Key","Transakcijas atslēga"
"authorize","autorizēt"
"authorize and capture","autorizēt un saņemt"
"capture","saņemt"
"failed","neizdevās"
"refund","atmaksāt"
"successful","veiksmīgi"
"void","anulēt"
