"Add Minimum Qty","Mindestmenge hinzufügen"
"Allow Qty Below 0","Menge unter 0 zulassen"
"Allow Qty Below 0 and Notify Customer","Menge unter 0 zulassen und Kunden informieren"
"Automatically Return Credit Memo Item to Stock","Erzeuge automatische Gutschrift wenn Artikel zurück in Lager geht"
"Backorders","Rückstand"
"By Fixed value","Um festen Wert"
"By Percentage","Um einen Prozentsatz"
"Decrease Stock When Order is Placed","Verringere Lagerbestand bei Bestellung"
"Display Out of Stock Products","Anzeige der ""Nicht auf Lager"" Produkte"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"In Stock","Auf Lager"
"Inventory","Inventar"
"Inventory Section","Inventar"
"Manage Stock","Lagerbestand verwalten"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Minimum Qty","Der Lagerbestand des Artikels ist ungültig"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"No Backorders","Keine Backorders"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Only X left Threshold","""Nur noch X Produkte verfügbar"" Schwelle"
"Out of Stock","Nicht auf Lager"
"Product Name","Artikelname"
"Product Stock Options","Lagerverwaltungs Optionen"
"Products will still be shown by direct product URLs.","Produkte werden weiterhin unter direkter Produkt-URL angezeigt."
"Qty","Menge"
"Qty Increments","Anzahl erhöhen"
"Rule price","Regel-Preis"
"Set Items' Status to be In Stock When Order is Cancelled","Setze Lagerstatus auf ""Verfügbar"" wenn Bestellung storniert wird"
"Stock Options","Lagerbestands Optionen"
"Stock Status","Lagerstatus"
"The stock item for Product in option is not valid.","Der Lagerartikel für das Produktoption ist nicht gültig."
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"Update","Aktualisieren"
"Update the Product","Produkt aktualisieren"
