"* Required Fields","* Pflichtfelder"
"Add All to Cart","Alles in den Warenkorb"
"Add to Cart","In den Warenkorb"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Back","Zurück"
"Cannot specify product.","Produkt kann nicht angegeben werden."
"Click for price","Klicken für Preis"
"Comment","Kommentar"
"Comment:","Kommentar:"
"Date Added","Hinzugefügt am"
"Edit","Bearbeiten"
"Email Sender","E-Mail-Absender"
"Email Template","E-Mail-Vorlage"
"Email addresses, separated by commas","E-Mail-Adressen, getrennt durch Komma"
"Enabled","Aktiviert"
"General Options","Allgemeine Optionen"
"In stock","Auf Lager"
"Last Added Items","Zuletzt hinzugefügte Produkte"
"Message","Nachricht"
"Options Details","Optionen-Details"
"Out of stock","Nicht lieferbar"
"Price","Preis"
"Product","Produkt"
"Product Details and Comment","Produktdetails und Kommentar"
"Qty","Menge"
"RSS Feed","RSS-Feed"
"Remove Item","Artikel entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Remove item","Artikel entfernen"
"SKU","Artikelnummer"
"Share Options","Teilen-Optionen"
"Sharing Information","Verteilungsinformationen"
"User Description","Benutzerbeschreibung"
"View Details","Details anzeigen"
"View Product","Produkt anzeigen"
"What's this?","Was ist das?"
"Wishlist","Wunschzettel"
