"-- Please Select --","-- Bitte wählen --"
"Attribute Code","Attribut-Code"
"Attribute Label","Attribut Label"
"Begin data validation","Starte Datenüberprüfung"
"Cannot get autoincrement value","Automatisch erhöhter Wert konnte nicht abgefragt werden"
"Check Data","Daten prüfen"
"Customers","Kunden"
"Delete Entities","Datensätze löschen"
"Destination file is not writable","Zieldatei ist nicht beschreibbar"
"Entity Type","Entitätstyp"
"Entity is unknown","Entität ist unbekannt"
"Export File Format","in Zeilen:"
"Export Settings","Import-Einstellungen"
"File is valid! To start import process press ""Import"" button","Datei ist gültig! Um den Import zu starten, klicken Sie auf ""Import"""
"Filter","Filtern"
"From","Von"
"Import","Importieren"
"Import Behavior","Import-Verhalten"
"Import Settings","Import-Einstellungen"
"Import/Export","Importieren/Exportieren"
"No valid data sent","Keine gültigen Daten gesendet."
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Bitte beheben Sie die Fehler und laden Sie die Datei erneut hoch oder nutzen Sie den Importieren-Button, um die Zeilen mit Fehlern zu überspringen"
"Products","Artikel"
"Select File to Import","Wählen Sie die zu importierende Datei"
"There are no product types available for export","Für den Export stehen keine Artikelarten zur Verfügung"
"To","Bis"
"Unknown attribute filter type","Unbekannter Attribut-Filter-Typ"
