"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel"
"Apply","Anwenden"
"Apply Rules","Regeln anwenden"
"Attribute Set","Attribut-Set"
"Catalog","Katalog"
"Catalog Price Rule","Katalog-Preisregel"
"Catalog Price Rules","Katalog-Preisregeln"
"Category","Kategorie"
"Conditions","Bedingungen"
"Conditions Combination","Bedingungs-Kombination"
"Customer Groups","Kundengruppen"
"Date From","Datum von"
"Date To","Datum bis"
"Description","Beschreibung"
"Discount Amount","Rabattbetrag"
"Edit Rule","Regel bearbeiten"
"Expiration Date","Ablaufdatum"
"General Information","Allgemeine Information"
"ID","Id"
"Inactive","Inaktiv"
"New Rule","Neue Regel"
"No","Nein"
"Options","Optionen"
"Priority","Priorität"
"Product Attribute","Artikelattribut"
"Promotions","Preisregeln"
"Rule Information","Regelinformationen"
"Rule Name","Regelname"
"Save and Apply","Speichern und anwenden"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Start Date","Start"
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Type","Typ"
"Website","Webseite"
"Websites","Webseiten"
"Yes","Ja"
