"Allow for Guests","Für Gäste erlaubt"
"Back","Zurück"
"Email Address","E-Mailadresse"
"Email Address:","E-Mail-Adresse:"
"Email Templates","E-Mail-Vorlagen"
"Email to a Friend","E-Mail an einen Freund"
"Email:","E-Mail:"
"Enabled","Aktiviert"
"Invalid Sender Information","Ungültige Absenderinformationen"
"Limit Sending By","Begrenze E-Mail-Versand durch"
"Max Products Sent in 1 Hour","Maximale Versandhäufigkeit je Artikel binnen 1 Stunde"
"Max Recipients","Maximale Anzahl Empfänger"
"Message:","Nachricht:"
"Select Email Template","E-Mail-Template auswählen"
"Send Email","E-Mail Senden"
"Some emails were not sent.","Einige e-Mails wurden nicht gesendet."
"The link to a friend was sent.","Der Link an einen Freund wurde gesendet."
