"-- Please select --","--Bitte auswählen--"
"API Key","API-Schlüssel"
"Allowed Currencies","Erlaubte Währungen"
"An invalid base currency has been entered.","Eine ungültige Basiswährung wurde eingegeben."
"Base Currency","Basiswährung"
"Connection Timeout in Seconds","Connection Timeout in Sekunden"
"Country","Land"
"Country and Format Type combination should be unique","Kombination aus Land und Formattyp sollte eindeutig sein"
"Currency","Währung"
"Currency Options","Währungsoptionen"
"Currency Setup","Währungseinrichtung"
"Currency Update Warnings","Warnung zur Währungsaktualisierung"
"Currency rates can't be retrieved.","Währungskurse können nicht abgerufen werden."
"Default Display Currency","Standard-Display-Währung"
"Enabled","Aktiviert"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"FATAL ERROR:","SCHWERWIEGENDER FEHLER:"
"Frequency","Häufigkeit"
"Installed Currencies","Installierte Währungen"
"No API Key was specified or an invalid API Key was specified.","Es wurde kein oder ein ungültiger API-Schlüssel angegeben."
"Scheduled Import Settings","Einstellungen für geplanten Import"
"Start Time","Startzeit"
"State/Province","Bundesland"
"The account this API request is coming from is inactive.","Das Konto, von dem diese API-Anfrage stammt, ist inaktiv."
"WARNING:","WARNUNG:"
