"--Please Select--","-- Bitte wählen --"
"API Login ID","API-Login-ID"
"Accepted Currency","Akzeptierte Währung"
"Authorize.net Direct Post","Authorize.net Direktpost"
"Card Verification Number","Kartenprüfnummer"
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Close","Schließen"
"Credit Card Information","Kreditkarten-Informationen"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten Verifizierung"
"Debug","Debuggen"
"Email Customer","Kunden Email"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Gateway URL","Gateway-URL"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Merchant MD5","Händler MD5"
"Merchant's Email","Händler Email"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"New Order Status","Neuer Bestellstatus"
"Payment Action","Zahlungsvorgang"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Sort Order","Sortierreihenfolge"
"Test Mode","Test Modus"
"Title","Titel"
"Transaction Key","Transaktionsschlüssel"
"What is this?","Was ist das?"
