"All Websites","Alle Webseiten"
"Display Prices In Emails","Preise in E-Mails anzeigen"
"Display Prices In Product Lists","Preise in Produktlisten anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmodulen anzeigen"
"Display Prices On Product View Page","Preise auf der Produktseite anzeigen"
"Enable FPT","FPT aktivieren"
"Excluding FPT","Exklusive FPT"
"Fixed Product Tax","Feste Produktsteuer"
"Fixed Product Taxes","Feste Produktsteuern"
"Include FPT In Subtotal","FPT in der Zwischensumme einschließen"
"Including FPT and FPT description","Einschließlich FPT und FPT-Beschreibung"
"Including FPT only","Ausschließlich inklusive FPT"
"Total","Gesamtsumme"
"Total Incl. Tax","Gesamt inkl. MwSt."
"Total:","Gesamtsumme:"
