"1 Hour","1 گھنٹہ"
"12 Hours","12 گھنٹے"
"2 Hours","2 گھنٹے"
"24 Hours","24 گھنٹے"
"6 Hours","6 گھنٹے"
"Actions","ایکشنز"
"All","سب"
"Close","بند کریں"
"Custom","اپنی مرضی کے مطابق"
"Date Added","تاریخ شامل کر دی ہے"
"Incoming Message","آنے والا پیغام"
"Invalid parent block for this block","اس بلاک کے لئے غلط پیرنٹ بلاک ہے."
"Messages Inbox","پیغامات ان باکس کرو"
"None","کوئی بھی نہیں"
"Notifications","آگاہی"
"Order Totals","آرڈر کل"
"Price","قیمت"
"Quantity","مقدار"
"Remove","مٹانا"
"Select","منتخب کریں"
"Shipping Address","شپنگ ایڈریس"
"Shopping Cart","خریداری کی ٹوکری"
"close","بند کریں"
"critical","اہم"
"major","بڑا"
"minor","معمولی"
"notice","نوٹس"
