"Are you sure?","کیا تمہیں یقین ہے؟"
"Order Status","آرڈر کی حیثیت"
"Price","قیمت"
"Recently Compared Products","حال ہی میں موازنہ گئے مصنوعات"
"Recently Viewed","حال ہی میں دیکھا گیا"
"Recently Viewed Products","حال ہی میں دیکھے گئے مصنوعات"
"Shopping Cart","خریداری کی ٹوکری"
