"-- Please Select --","--Vänligen välj--"
"Add New Class","Lägg till ny klass"
"Add New Tax Rate","Lägg till ny skatteregel"
"Add New Tax Rule","Lägg till ny skatteregel"
"After Discount","Efter rabatt"
"Apply Tax On","Lägg till moms på"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Back","Tillbaka"
"Before Discount","Före rabatt"
"Class Name","Klassnamn"
"Code","Kod"
"Country","Land"
"Custom price if available","Specialpris om det är angivet"
"Customer Tax Class","Kundens Skattekategori"
"Customer Tax Class Information","Information om momsklass för kund"
"Customer Tax Classes","Momsklasser för kunder"
"Default Country","Standardland"
"Default Post Code","Förvalt postnummer"
"Default State","Förvald region"
"Delete Class","Ta bort klass"
"Delete Rate","Ta bort Avgift"
"Delete Rule","Ta bort regel"
"Display Prices","Visa priser"
"Display Shipping Amount","Visa fraktsumma"
"Display Shipping Prices","Visa fraktpriser"
"Display Subtotal","Visa delsumma"
"Display Zero Tax Subtotal","Visa Noll Moms Delsumma"
"Edit Class","Ändra klass"
"Edit Class '%s'","Ändra klassen '%s'"
"Edit Rule","Redigera regel"
"Edit Tax Rate","Ändra momssats"
"Excl. Tax","-Exkl. Moms"
"Excl. Tax:","Excl. moms:"
"Excluding Tax","Exklusive moms"
"Export Tax Rates","Exportera skattesatser"
"Grand Total (Excl. Tax)","Totalsumma (Exkl. Moms)"
"Grand Total (Excl.Tax)","Totalsumma (Exkl.Moms)"
"Grand Total (Incl. Tax)","Totalsumma (Inkl. Moms)"
"Grand Total (Incl.Tax)","Totalsumma (Inkl.Moms)"
"Grand Total Excl. Tax","Totalsumma Exkl. Moms"
"Grand Total Incl. Tax","Totalsumma Inkl. Moms"
"Import / Export Tax Rates","Importera / Exportera momssatser"
"Import Tax Rates","Importera skattesatser"
"Inc. Tax","Inkl. moms"
"Incl. Tax","Inkl. Moms"
"Incl. Tax:","Inkl moms:"
"Including Tax","Inklusive moms"
"Including and Excluding Tax","Inklusive och exklusive moms"
"Invalid file format upload attempt","Filen du försökte ladda upp är av ett ogiltigt format."
"Invalid file upload attempt","Ogiltig filuppladdningsförsök"
"Manage Tax Rates","Hantera Skattesatser"
"Manage Tax Rules","Hantera skattesatser"
"Name","Namn"
"New Class","Ny klass"
"New Rule","Ny regel"
"New Tax Rate","Ny momsklass"
"No","Nej"
"None","Inga"
"One of the country has invalid code.","En av länderna har ogiltig kod."
"Original price only","Endast ordinarie pris"
"Priority","Prioritet"
"Product Tax Class","Produktens momsklass"
"Product Tax Class Information","Information om momsklass för produkt"
"Product Tax Classes","Momsklasser för produkter"
"Range From","Sträcker sig från"
"Range To","Sträcker sig till"
"Rate","Betygsätt"
"Rate Percent","Procent Betyg"
"Reset","Återställ"
"Row Total","Radsumma"
"Sales","Försäljning"
"Save Class","Spara klass"
"Save Rate","Spara Sats"
"Save Rule","Spara Regel"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Shipping & Handling (Excl.Tax)","Frakt & hantering (Exkl.Moms)"
"Shipping & Handling (Incl.Tax)","Frakt & hantering (Inkl.Moms)"
"Shipping (Excl. Tax)","Frakt (Exkl. Moms)"
"Shipping (Incl. Tax)","Frakt (Inkl. Moms)"
"Sort Order","Sorteringsordning"
"State","Län"
"State/Region","Stat/Region"
"Subtotal (Excl. Tax)","Delsumma (Exkl. Moms)"
"Subtotal (Excl.Tax)","Delsumma (Exkl.Moms)"
"Subtotal (Incl. Tax)","Delsumma (Inkl. Moms)"
"Subtotal (Incl.Tax)","Delsumma (Inkl.Moms)"
"Tax","Skatt"
"Tax Class for Shipping","Momsklasser för frakt"
"Tax Classes","Momsklasser"
"Tax Identifier","Skatte-Id"
"Tax Rate","Skattesats"
"Tax Rate Information","Information om skattesatser"
"Tax Rule Information","Information om skattesatser"
"Tax Rules","Momsregler"
"Tax Titles","Skattesatser"
"The tax rate has been imported.","Skattesatsen har importerats."
"The tax rule has been deleted.","Momsregeln har tagits bort."
"This class no longer exists","Denna klass finns inte längre"
"This rule no longer exists","Denna regel existerar inte längre"
"This rule no longer exists.","Denna regel finns inte längre."
"Total","Summa"
"Unit Price","Styckpris"
"Yes","Ja"
"You cannot delete this tax class as it is used for %d customer groups.","Du kan inte ta bort denna momsklass då den används för %s kundgrupper."
"You cannot delete this tax class as it is used for %d products.","Du kan inte ta bort denna momsklass då den används för %s produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kan inte ta bort denna momsklass då den används för existerande momsregler. Du måste först ta bort momsreglerna."
"Zip/Post Code","Postnummer"
"Zip/Post is Range","Postnummer mellan"
