"Add Option","Lägg till alternativ"
"Attempt to add an invalid object","Objektet kunde inte läggas till då det är ogiltigt"
"Attribute Code","Attributkod"
"Attribute Label","Attributetikett"
"Attribute Properties","Egenskaper för attribut"
"Attribute object is undefined","Attributobjekt är inte definierad"
"Attribute with the same code","Attribut med samma kod"
"Catalog Input Type for Store Owner","Inmatningstyp för butiksägare"
"Data integrity: No header row found for attribute","Dataintegritet: ingen rad för huvud hittades för attributet"
"Date","Datum"
"Decimal Number","Decimaltal"
"Default Value","Standardvärde"
"Default option value is not defined","Förvalt alternativvärde har inte angetts"
"Delete","Ta bort"
"Dropdown","Rullgardinsmeny"
"Email","E-post"
"Entity is not initialized","Entitet är inte initierad"
"Entity object is undefined","Enhetsobjekt är inte definierad"
"Frontend label is not defined","Etikett för kunddelen har inte angetts"
"Input Validation for Store Owner","Indata för butiksägaren"
"Integer Number","Heltal"
"Invalid attribute name: %s","Ogiltigt attributnamn: %s"
"Invalid attribute requested: %s","Ogiltigt attribut har begärts: %s"
"Invalid attribute type","Ogiltig attributtyp"
"Invalid character encountered in increment ID: %s","Ogiltigt tecken har påträffats i uppräknat ID: %s"
"Invalid date","Ogiltigt datum"
"Invalid entity specified","Ogiltig entitet har angetts"
"Invalid entity supplied: %s","Ogiltigt attribut har tillhandahållits: %s"
"Invalid entity type","Ogiltig entitetstyp"
"Invalid entity_type specified: %s","Ogiltig entitetstyp har angetts: %s"
"Invalid foreign key","Ogiltig främmande nyckel"
"Invalid store specified","Ogiltig butik har angetts"
"Joined field with this alias is already declared","Sammanslagna fält med detta alias har redan deklarerats"
"Letters","Bokstäver"
"Letters (a-z, A-Z) or Numbers (0-9)","Bokstäver (a-z, A-Z) eller nummer (0-9)"
"Loaded %d records","Har laddat %d poster"
"Multiple Select","Flerval"
"No","Nej"
"None","Inga"
"Not shared with other products","Delas ej med andra produkter"
"Problem loading the collection, aborting. Error: %s","Det uppstod ett fel när samlingen skulle laddas, avbryter. Felmeddelande: %s"
"Problem saving the collection, aborting. Error: %s","Ett fel uppstod när samlingen skulle sparas, avbryter åtgärden. Felmeddelande: %s"
"Required","Obligatorisk"
"Text Area","Textruta"
"Text Field","Textfält"
"URL","Webbadress"
"Unique Value","Unikt värde"
"Unique Value (not shared with other products)","Unikt värde (Får inte delas med andra produkter)"
"Unknown parameter","Okänd parameter"
"Values Required","Värden krävs"
"Wrong attribute group ID","Felaktigt id för attributgrupp"
"Wrong attribute set ID","Felaktigt id för attributmängd"
"Wrong entity ID","Felaktigt entitetsid"
"Yes","Ja"
"Yes/No","Ja/Nej"
