"All Websites","Alla webbplatser"
"Display Prices In Emails","Visa priser i e-postmeddelanden"
"Display Prices In Product Lists","Visa priser i produktlistor"
"Display Prices In Sales Modules","Visa priser i försäljningsmoduler"
"Display Prices On Product View Page","Visa priser i produktlistor"
"Enable FPT","Aktivera FPT"
"Excluding FPT","Exklusive FPT"
"Excluding FPT, FPT description, final price","Exklusive produktskatt, beskrivning för produktskatt, slutpris"
"Fixed Product Tax","Fast produktskatt"
"Fixed Product Taxes","Fast produktskatt"
"Include FPT In Subtotal","Inkludera produktskatt i delsumman"
"Including FPT and FPT description","Inklusive FPT och FPT Beskrivning"
"Including FPT and FPT description [incl. FPT VAT]","Inklusive produktskatt och beskrivning för produktskatt"
"Including FPT only","Inklusive FPT endast"
"Total","Summa"
"Total Incl. Tax","Totalt inkl moms"
"Total incl. tax","Totalsumma inkl. moms"
"Total:","Totalt:"
