"Add Minimum Qty","Lägg till Minsta Antal"
"Allow Qty Below 0","Tillåt antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillåt antal under 0 och informera kunden"
"Backorders","Restorder"
"By Fixed value","Utifrån fixerat värde"
"By Percentage","Utifrån procent"
"Catalog Inventory","Lageralternativ katalog"
"Decrease Stock When Order is Placed","Minska Produkter i Lager Efter Beställning"
"Enable Qty Increments","Aktivera antal steg"
"In Stock","I lager"
"Inventory","Lagerstatus"
"Inventory API","API Lageralternativ"
"Manage Stock","Hantera lager"
"Maximum Qty Allowed in Shopping Cart","Högsta antal tillåtna i kundvagn"
"Minimum Qty","Minsta Antal"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"No Backorders","Inga restorder"
"Notify for Quantity Below","Notifiera för antal under"
"Out of Stock","Ej i lager"
"Product Name","Produktnamn"
"Product Stock Options","Lageralternativ Produkt"
"Qty","Antal"
"Qty Increments","Antal steg"
"Retrieve stock data","Hämta lagersaldo"
"Retrieve stock data by product ids","Hämta lagersaldo via prodktid"
"Rule price","Prisregel"
"Set Items' Status to be In Stock When Order is Cancelled","Ange artikelstatus till I lager när ordern avbryts"
"Stock Options","Lageralternativ"
"Stock Status","Lagerstatus"
"The maximum quantity allowed for purchase is %s.","Maximalt antal som kan köpas är %s."
"The minimum quantity allowed for purchase is %s.","Minimalt antal som kan köpas är %s."
"The requested quantity for ""%s"" is not available.","Begärt antal av ""%s"" finns inte i lager."
"The stock item for Product in option is not valid.","Lagerstatus för produkten är inte giltigt."
"This product is currently out of stock.","Denna produkt är tyvärr slut."
"To Fixed Value","Till fixerat värde"
"To Percentage","Till procent"
"Update","Uppdatera"
"Update product stock data","Uppdatera lagersaldo"
"Update the Product","Uppdatera produkten"
