"10 minutes","10 minuter"
"15 minutes","15 minuter"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Schemalagda jobb) – alla tider i minuter"
"Daily","Dagligen"
"Failure History Lifetime","Livstid för mislyckandes historik"
"Generate Schedules Every","Generera scheman varje"
"History Cleanup Every","Rensningsfrekvens av historia"
"Hourly","Timvis"
"Invalid callback: %s::%s does not exist","Felaktig callback: %s::%s finns inte"
"Missed if Not Run Within","Missas om detta inte körs inom"
"Monthly","Månatligen"
"Schedule Ahead for","Schemalägga framåt för"
"Success History Lifetime","Framgångshistoria livstid"
"Weekly","Veckovis"
