"Add Recipient","Lägg till mottagare"
"Allow for Guests","Tillåt för gäster"
"Back","Tillbaka"
"Email Address","E-postadress"
"Email Address:","E-postadress:"
"Email Templates","E-postmallar"
"Email to a Friend","E-posta till en vän"
"Email:","Epost:"
"Enabled","Aktiverad"
"Invalid Sender Information","Ogiltig avsändarinformation"
"Limit Sending By","Begränsa utskick med"
"Max Products Sent in 1 Hour","Maximalt antal tillåtna produkter har skickats"
"Max Recipients","Max antal mottagare"
"Maximum %d email addresses allowed.","Maximalt %d e-postadresser är tillåtna."
"Message:","Meddelande:"
"Name","Namn"
"Name:","Namn:"
"Recipient:","Mottagare:"
"Remove Email","Ta bort e-post"
"Select Email Template","Välj E-postmall"
"Send Email","Skicka E-post"
"Send product to a friend","Rekommendera produkten till en vän"
"Sender:","Avsändare:"
"Some emails were not sent.","Viss e-post skickades inte."
"The link to a friend was sent.","Länken till en vän skickades."
