"Action","Åtgärd"
"Add Sitemap","Lägg Sitemap"
"Always","Alltid"
"CMS Pages Options","CMS-sidalternativ"
"Categories Options","Alternativ för kategorier"
"Daily","Dagligen"
"Edit Sitemap","Redigera Sitemap"
"Enabled","Aktiverad"
"Error Email Recipient","Fel E-post mottagare"
"Error Email Sender","Fel E-post avsändare"
"Error Email Template","Felmeddelande E-post-mall"
"Filename","Filnamn"
"Frequency","Frekvens"
"Generate","Generera"
"Generation Settings","Inställningar för skapande av sidkarta"
"Hourly","Timvis"
"Last Time Generated","Skapades senast"
"Link for Google","Länk till Google"
"Monthly","Månatligen"
"Never","Aldrig"
"New Sitemap","Ny Sitemap"
"Path","Sökväg"
"Priority","Prioritet"
"Products Options","Alternativ för produkt"
"Sitemap","Sidkarta"
"Sitemap generate Warnings","Varningar för skapande av webbkarta"
"Start Time","Starttid"
"Store View","Butiksvy"
"This sitemap no longer exists.","Denna sitemap finns inte längre."
"Weekly","Veckovis"
"Yearly","Årligen"
