"Add","Lägg till"
"Add New Row","Lägg till ny rad"
"An error occurred while saving the file(s).","Ett fel uppstod när filen/filerna skulle sparas."
"Availability:","Tillgänglighet:"
"Back","Tillbaka"
"Canceled","Avbruten"
"Category API","Kategory API"
"Date","Datum"
"Default Link Title","Standardtitel för länkar"
"Default Maximum Number of Downloads","Standardvärde för maximalt antal nerladdningar"
"Default Sample Title","Förvald titel för exempelprodukt"
"Delete","Ta bort"
"Downloadable Information","Nedladdningsbar Information"
"Downloadable Product","Nedladdningsbar produkt"
"Downloadable Product Options","Alternativ för Nedladdningsbar produkt"
"Edit","Redigera"
"Edit item parameters","Redigera parametrarna för"
"Excl. Tax","-Exkl. Moms"
"File","Fil"
"From:","Från:"
"Gift Message","Presentmeddelande"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå till <a href=""%s"">Mina nedladdningsbara produkter</a>"
"In stock","I lager"
"Incl. Tax","Inkl. Moms"
"Invalid download link type.","Ogiltig länk för nedladdning."
"Invoiced","Fakturerad"
"Links can be purchased separately","Länkar kan köpas separat"
"List","Listvy"
"Max. Downloads","Max. nerladdningar"
"Message:","Meddelande:"
"Move","Flytta"
"My Downloadable Products","Min nedladdningsbara produkter"
"Open Links in New Window","Öppna länkar i nytt fönster"
"Order #","Beställning #"
"Order id cannot be null","Order-id får inte vara null"
"Order item id cannot be null","Order-id får inte vara null"
"Ordered","Beställd"
"Out of stock","Ej i lager"
"Pending","Väntar"
"Please log in to download your product.","Vänligen logga in för att laddda ner din produkt"
"Please set resource file and link type.","Vänligen ange resursfil och länktyp."
"Please specify product link(s).","Vänligen ange produktlänk(ar)"
"Price","Pris"
"Qty","Antal"
"Refunded","Återbetald"
"Remaining Downloads","Återstående nedladdningar"
"Remove","Ta bort"
"Remove Item","Ta bort Artikel"
"SKU","Art.nr"
"Sample","Varuprov"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Shareable","Delad nedladdning"
"Shipped","Skickad"
"Sorry, there was an error getting requested content. Please contact the store owner.","Tyvärr, gick det inte att få begärda innehållet. Vänligen kontakta butiksägaren."
"Sort Order","Sorteringsordning"
"Start Download","Ladda ner nu"
"Subtotal","Delsumma"
"The link has expired.","Länken har upphört att gälla."
"The link is not available.","Länken är inte tillgänglig."
"Title","Titel"
"To:","Till:"
"Unlimited","Obegränsat"
"Update","Uppdatera"
"Use Default Value","Använd standardvärde"
"View Order","Visa beställning"
"What's this?","Vad är detta?"
"You have not purchased any downloadable products yet.","Du har inte köpt några nedladdningsbara produkter ännu."
"attachment","Bifogad fil"
"download","ladda ner"
"inline","inbäddat"
"sample","varuprov"
