"Actions","Åtgärder"
"Add Answer","Lägg till svarsalternativ"
"Add New Answer","Lägg till nytt svarsalternativ"
"Add New Poll","Lägg till ny enkät"
"Answer Title","Titel för svar"
"Answer Title:","Titel för svar:"
"Answer with the same title in this poll","Svar med samma titel i denna enkät"
"Are you sure you want to delete it?","Är du säker på att du vill ta bort den?"
"Assigned Answers","Tilldelade svar"
"Closed","Stängd"
"Community Poll","Enkät"
"Date Closed","Avslutades den"
"Date Posted","Postades den"
"Delete","Ta bort"
"Delete Answer","Ta bort svar"
"Delete Poll","Ta bort enkäten"
"Edit Answer '%s'","Ändra svaret '%s'"
"Edit Poll '%s'","Ändra på enkäten '%s'"
"Edit Poll Answer","Ändra enkätsvar"
"New Poll","Ny enkät"
"Number of Responses","Antal svar"
"Open","Öppna"
"Poll Answers","Svar för enkäten"
"Poll Information","Enkätinformation"
"Poll Manager","Hantera enkäter"
"Poll Question","Fråga för enkät"
"Poll information","Enkätinformation"
"Poll with the same question","Enkät med samma fråga"
"Polls","Frågeformulär"
"Save Answer","Spara svar"
"Save Poll","Spara enkäten"
"Visible In","Synlig i"
"Vote","Rösta"
"Votes Count","Antal röster"
"Votes Count:","Antal röster:"
