"%s and greater","%s och större"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produkt(er)</strong> hittades med följande sökning"
"Advanced Search","Avancerad sökning"
"All","Alla"
"Catalog Advanced Search","Katalog Avancerad Sökning"
"Catalog Search","Katalogsökning"
"Don't see what you're looking for?","Hittade du inte vad du letade efter?"
"Go","Kör"
"Go to Home Page","Gå till startsidan"
"Grid","Rutnät"
"Home","Hem"
"List","Listvy"
"Maximum Query Length","Maximal sökordslängd"
"Maximum Query Words Count","Maximalt antal sökord"
"Minimal Query Length","Minimal sökordslängd"
"Modify your search","Ändra din sökning"
"No","Nej"
"No items were found using the following search criteria.","Inga produkter hittades vid användning av sökfras."
"Popular Search Terms","Populära söktermer"
"Relevance","Relevans"
"Results","Resultat"
"Search","Sök"
"Search Settings","Sökinställningar"
"Search Terms","Söktermer"
"Search Type","Söktyp"
"Search entire store here...","Sök i hela butiken här..."
"Search results for '%s'","Sökresultat för '%s'"
"Search results for: '%s'","Sökresultat för: '%s'"
"Subscribe to Feed","Prenumerera på RSS-kanal"
"There are no search terms available.","Det finns inga söktermer tillgängliga."
"Yes","Ja"
"Your search returns no results.","Inga resultat hittades för din sökning."
"up to %s","upp till %s"
