"-- Please Select --","--Vänligen välj--"
"Attribute Code","Attributkod"
"Attribute Label","Attributetikett"
"Check Data","Kontrollera data"
"Customers","Kunder"
"Entity Type","Typ av enhet"
"Export","Exportera"
"Export File Format","Filformat för export"
"Export Settings","Exportera Inställningar"
"From","Från"
"Import","Importera"
"Import Behavior","Importbeteende"
"Import Settings","Importera inställningar"
"Import/Export","Importera/Exportera"
"Products","Produkter"
"Select File to Import","Välj fil att importera"
"There are no product types available for export","Det finns ingen produkttyper för export"
"To","Till"
"Unknown attribute filter type","Okänt attributtyp för filter"
