"%1$s incl tax.","%1$s inkl moms.."
"* Required Fields","* Obligatoriska fält"
"-- Select --","--Välj--"
"Add New Option","Lägg till ny egenskap"
"Add Selection","Lägg till val"
"As Low as","Så lågt som"
"As low as","Så lågt som"
"Bundle Items","Paketprodukter"
"Bundle Product","Paketprodukt"
"Buy %1$s for %2$s","Köp %1$s för %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Köp %1$s för %2$s (%3$s inkl moms) per st"
"Buy %1$s for %2$s each","Köp %1$s för %2$s per st"
"Buy %1$s with %2$s discount each","Köp %1 med %2 rabatt styck"
"Checkbox","Kryssruta"
"Choose a selection...","Välj ett urval..."
"Click for price","Klicka för pris"
"Close","Stäng"
"Default","Förvald"
"Default Qty","Förvalt Antal"
"Default Title","Standardtitel"
"Drop-down","Rullgardin"
"Dynamic","Dynamisk"
"Excl. Tax","-Exkl. Moms"
"Excl. Tax:","Excl. moms:"
"Fixed","Fast"
"From","Från"
"From:","Från:"
"Gift Message","Presentmeddelande"
"Incl. Tax","Inkl. Moms"
"Incl. Tax:","Inkl moms:"
"Input Type","Indatatyp"
"Is Required","Är obligatorisk"
"Message:","Meddelande:"
"Multiple Select","Flerval"
"N/A","Ej tillgängligt"
"No options of this product are available.","Det finns inget alternativ för denna produkt."
"None","Inga"
"Percent","Procent"
"Percent Discount","Procentuell rabatt"
"Please enter a number greater 0 in this field.","Du måste fylla in en siffra högre än 0."
"Please enter search conditions to view products.","Vänligen ange sökvillkor för att se produkter."
"Please select options for product.","Vänligen välj alternativ för produkten."
"Please specify product option(s).","Vänligen ange produktalternativ(en)."
"Position","Plats"
"Price Range","Prisintervall"
"Price Type","Pristyp"
"Price as configured","Pris som konfigurerad"
"Qty:","Antal:"
"Radio Buttons","Radioknappar"
"SKU","Art.nr"
"Separately","Separat"
"Ship Bundle Items","Skicka produktpaket"
"Shipment","Frakt"
"Store View Title","Rubrik för butik"
"This product is also part of bundle(s)","Denna produkt ingår även i paketen"
"To","Till"
"To:","Till:"
"Together","Tillsammans"
"Total incl. Tax: %1$s","Summa inkl. moms: %1$s"
"Use Default Value","Använd standardvärde"
"User Defined Qty","Användardefinierad antal"
"and","och"
"each","varje"
"save","spara"
