"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Länk</a>"
"Done","Klart"
"ETA: %s","Klart om c.a.: %s"
"Less than a minute","Mindre än en minut"
"Memory Used: %s","Minne förbrukat: %s"
"Processed records: %s","Behandlade poster: %s"
"Sheet 1","Blad 1"
"Starting %s :: %s","Börjar %s :: %s"
"Total records: %s","Poster totalt: %s"
"hour","timme"
"hours","timmar"
"minute","minut"
"minutes","minuter"
