"Add","Lägg till"
"Allow Gift Messages for Order Items","Tillåt presentmeddelanden för beställningsartiklar"
"Allow Gift Messages on Order Level","Tillåt presentmeddelanden endast för hela beställningen"
"Are you sure?","Är du säker?"
"Cancel","Avbryt"
"Do you have any gift items in your order?","Har du några presentartiklar i beställningen?"
"Edit","Redigera"
"From","Från"
"Gift Message","Presentmeddelande"
"Gift Options","Presentalternativ"
"Item %d of %d","Artikel %d av %d"
"Message","Meddelande"
"No","Nej"
"OK","Ok"
"Save Gift Message","Presentmeddelande"
"To","Till"
"Unknown entity type","Okänd enhetstyp"
"Use config","Använda inställningar"
"Yes","Ja"
