"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till en Ny Regel"
"Apply","Tillämpa"
"Apply Rules","Tillämpa regler"
"Attribute Set","Attributgrupp"
"By Fixed Amount","Med ett fast belopp"
"Catalog","Katalog"
"Catalog Price Rule","Katalogprisregel"
"Catalog Price Rules","Prisregler för katalog"
"Category","Kategori"
"Conditions","Villkor"
"Conditions (leave blank for all products)","Villkor (lämna tom för alla produkter)"
"Conditions Combination","Villkorskombination"
"Customer Groups","Kundgrupper"
"Date Expire","Utgångsdatum"
"Date From","Datum från"
"Date Start","Startdatum"
"Date To","Datum till"
"Description","Beskrivning"
"Discount Amount","Rabattbelopp"
"Edit Rule","Redigera regel"
"Edit Rule '%s'","Ändra regeln '%s'"
"Expiration Date","Utgångsdatum"
"From Date","Från datum"
"General Information","Allmän Information"
"Inactive","Inaktiv"
"New Rule","Ny regel"
"No","Nej"
"Options","Alternativ"
"Priority","Prioritet"
"Product Attribute","Produktattribut"
"Promotions","Kampanjer"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Save and Apply","Spara och tillämpa"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Start Date","Startdatum"
"This rule no longer exists.","Denna regel finns inte längre."
"To Date","Till datum"
"To Fixed Amount","Till ett fast belopp"
"Type","Typ"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Website","Webbplats"
"Websites","Webbplatser"
"Yes","Ja"
