"Back","Nyuma"
"Delete Selected Problems","Futa Matatizo Yaliyochaguliwa"
"Edit Newsletter","Hariri jarida"
"Preview Template","Hakiki kiolezo"
"Queue Date Start","Tarehe ya kuanzisha Foleni"
"Queue Information","Folenisha taarifa"
"Reset","Tengua"
"Save Newsletter","Weka jarida"
"Save and Resume","Weka na endelea"
"Unsubscribe Selected","Ondoa zilizochaguliwa"
"View Newsletter","Tazama jarida"
