"1 Hour","Saa 1"
"12 Hours","Masaa 12"
"2 Hours","Masaa 2"
"24 Hours","Masaa 24"
"6 Hours","Masaa 6"
"All","Zote"
"Back","Nyuma"
"Custom","Maalum"
"Incoming Message","Ujumbe unaoingia"
"None","Hakuna"
"Notifications","Taarifa"
"Preview Template","Hakiki kiolezo"
"Reset","Tengua"
"close","funga"
"critical","muhimu"
"major","kubwa"
"minor","madogo"
"notice","ilani"
