"Action","Дія"
"Are you sure you want to delete the selected backup(s)?","Ви дійсно бажаєте видалити вибрану(і) резервну(і) копію(ї)?"
"Backups","Резервні копії"
"Create Backup","Створити резервну копію"
"Database","База даних"
"Database Backup","Резервне копіювання бази даних"
"Database and Media","База даних і медіа"
"Database and Media Backup","Резервне копіювання бази даних та медіа"
"Download","Завантажити"
"Enable Scheduled Backup","Увімкнути резервне копіювання за розкладом"
"Frequency","Частота"
"Maintenance Mode","Режим тех. обслуговування"
"Name","Назва"
"Rollback","Відкат"
"Start Time","Час початку"
"System","Система"
"System (excluding Media)","Система (за винятком медіа)"
"System Backup","Резервне копіювання системи"
"Time","Час"
"Type","Тип"
