"Action","Дія"
"Always","Завжди"
"CMS Pages Options","Опції CMS сторінок"
"Categories Options","Опції категорій"
"Daily","Щоденно"
"Edit Sitemap","Редагувати мапу сайту"
"Enabled","Ввімкнено"
"Error Email Recipient","Невірний отримувач Email "
"Error Email Sender","Невірний відправник Email"
"Error Email Template","Невірний шаблон Email"
"Filename","Ім'я файлу"
"Frequency","Частота"
"Generation Settings","Налаштування створення"
"Google Sitemap","Мапа сайту Google"
"Hourly","Погодинно"
"ID","Ідентифікатор"
"Last Time Generated","Час останнього створення"
"Link for Google","Лінк для Google"
"Monthly","Щомісячно"
"Never","Ніколи"
"New Sitemap","Нова карта сайту"
"Path","Шлях"
"Priority","Пріоритет"
"Products Options","Налаштування продуктів"
"Sitemap","Карта сайту"
"Sitemap generate Warnings","Попередження при створенні мапи сайту"
"Start Time","Час початку"
"Store View","Вид Магазину"
"Weekly","Щотижневий"
"Yearly","Щорічно"
