"Done","Готово"
"ETA: %s","Приблизний час виконання: %s"
"Less than a minute","Менше хвилини"
"Memory Used: %s","Використано пам'яті: %s"
"Processed records: %s","Обробені записи: %s"
"Sheet 1","Лист 1"
"Starting %s :: %s","Початок %s :: %s"
"Total records: %s","Всього записів: %s"
"hour","год."
"hours","год."
"minute","хв."
"minutes","хв."
